source_node|target_node|edge_label
0|23|friendship
1|40|follows
2|57|likes
3|74|shares
4|91|mentions
5|108|friendship
6|125|follows
7|142|likes
8|159|shares
9|176|mentions
10|193|friendship
11|210|follows
12|227|likes
13|244|shares
14|261|mentions
15|278|friendship
16|295|follows
17|312|likes
18|329|shares
19|346|mentions
20|363|friendship
21|380|follows
22|397|likes
23|414|shares
24|431|mentions
25|448|friendship
26|465|follows
27|482|likes
28|499|shares
29|516|mentions
30|533|friendship
31|550|follows
32|567|likes
33|584|shares
34|601|mentions
35|618|friendship
36|635|follows
37|652|likes
38|669|shares
39|686|mentions
40|703|friendship
41|720|follows
42|737|likes
43|754|shares
44|771|mentions
45|788|friendship
46|805|follows
47|822|likes
48|839|shares
49|856|mentions
50|873|friendship
51|890|follows
52|907|likes
53|924|shares
54|941|mentions
55|958|friendship
56|975|follows
57|992|likes
58|1009|shares
59|1026|mentions
60|1043|friendship
61|1060|follows
62|1077|likes
63|1094|shares
64|1111|mentions
65|1128|friendship
66|1145|follows
67|1162|likes
68|1179|shares
69|1196|mentions
70|1213|friendship
71|1230|follows
72|1247|likes
73|1264|shares
74|1281|mentions
75|1298|friendship
76|1315|follows
77|1332|likes
78|1349|shares
79|1366|mentions
80|1383|friendship
81|1400|follows
82|1417|likes
83|1434|shares
84|1451|mentions
85|1468|friendship
86|1485|follows
87|1502|likes
88|1519|shares
89|1536|mentions
90|1553|friendship
91|1570|follows
92|1587|likes
93|1604|shares
94|1621|mentions
95|1638|friendship
96|1655|follows
97|1672|likes
98|1689|shares
99|1706|mentions
100|1723|friendship
101|1740|follows
102|1757|likes
103|1774|shares
104|1791|mentions
105|1808|friendship
106|1825|follows
107|1842|likes
108|1859|shares
109|1876|mentions
110|1893|friendship
111|1910|follows
112|1927|likes
113|1944|shares
114|1961|mentions
115|1978|friendship
116|1995|follows
117|2012|likes
118|2029|shares
119|2046|mentions
120|2063|friendship
121|2080|follows
122|2097|likes
123|2114|shares
124|2131|mentions
125|2148|friendship
126|2165|follows
127|2182|likes
128|2199|shares
129|2216|mentions
130|2233|friendship
131|2250|follows
132|2267|likes
133|2284|shares
134|2301|mentions
135|2318|friendship
136|2335|follows
137|2352|likes
138|2369|shares
139|2386|mentions
140|2403|friendship
141|2420|follows
142|2437|likes
143|2454|shares
144|2471|mentions
145|2488|friendship
146|2505|follows
147|2522|likes
148|2539|shares
149|2556|mentions
150|2573|friendship
151|2590|follows
152|2607|likes
153|2624|shares
154|2641|mentions
155|2658|friendship
156|2675|follows
157|2692|likes
158|2709|shares
159|2726|mentions
160|2743|friendship
161|2760|follows
162|2777|likes
163|2794|shares
164|2811|mentions
165|2828|friendship
166|2845|follows
167|2862|likes
168|2879|shares
169|2896|mentions
170|2913|friendship
171|2930|follows
172|2947|likes
173|2964|shares
174|2981|mentions
175|2998|friendship
176|3015|follows
177|3032|likes
178|3049|shares
179|3066|mentions
180|3083|friendship
181|3100|follows
182|3117|likes
183|3134|shares
184|3151|mentions
185|3168|friendship
186|3185|follows
187|3202|likes
188|3219|shares
189|3236|mentions
190|3253|friendship
191|3270|follows
192|3287|likes
193|3304|shares
194|3321|mentions
195|3338|friendship
196|3355|follows
197|3372|likes
198|3389|shares
199|3406|mentions
200|3423|friendship
201|3440|follows
202|3457|likes
203|3474|shares
204|3491|mentions
205|3508|friendship
206|3525|follows
207|3542|likes
208|3559|shares
209|3576|mentions
210|3593|friendship
211|3610|follows
212|3627|likes
213|3644|shares
214|3661|mentions
215|3678|friendship
216|3695|follows
217|3712|likes
218|3729|shares
219|3746|mentions
220|3763|friendship
221|3780|follows
222|3797|likes
223|3814|shares
224|3831|mentions
225|3848|friendship
226|3865|follows
227|3882|likes
228|3899|shares
229|3916|mentions
230|3933|friendship
231|3950|follows
232|3967|likes
233|3984|shares
234|4001|mentions
235|4018|friendship
236|4035|follows
237|4052|likes
238|4069|shares
239|4086|mentions
240|4103|friendship
241|4120|follows
242|4137|likes
243|4154|shares
244|4171|mentions
245|4188|friendship
246|4205|follows
247|4222|likes
248|4239|shares
249|4256|mentions
250|4273|friendship
251|4290|follows
252|4307|likes
253|4324|shares
254|4341|mentions
255|4358|friendship
256|4375|follows
257|4392|likes
258|4409|shares
259|4426|mentions
260|4443|friendship
261|4460|follows
262|4477|likes
263|4494|shares
264|4511|mentions
265|4528|friendship
266|4545|follows
267|4562|likes
268|4579|shares
269|4596|mentions
270|4613|friendship
271|4630|follows
272|4647|likes
273|4664|shares
274|4681|mentions
275|4698|friendship
276|4715|follows
277|4732|likes
278|4749|shares
279|4766|mentions
280|4783|friendship
281|4800|follows
282|4817|likes
283|4834|shares
284|4851|mentions
285|4868|friendship
286|4885|follows
287|4902|likes
288|4919|shares
289|4936|mentions
